HRU,SC,ORDEN,QF,OBS,SEG,ESTAC
251,5,5,1,1,1,Estero Pocuro en el Sifon
252,5,5,1,1,1,Estero Pocuro en el Sifon
253,5,5,1,1,1,Estero Pocuro en el Sifon
259,5,5,1,1,1,Estero Pocuro en el Sifon
281,5,5,1,1,1,Estero Pocuro en el Sifon
282,5,5,1,1,1,Estero Pocuro en el Sifon
308,5,5,1,1,1,Estero Pocuro en el Sifon
309,5,5,1,1,1,Estero Pocuro en el Sifon
334,5,5,1,1,1,Estero Pocuro en el Sifon
335,5,5,1,1,1,Estero Pocuro en el Sifon
360,5,5,1,1,1,Estero Pocuro en el Sifon
361,5,5,1,1,1,Estero Pocuro en el Sifon
362,5,5,1,1,1,Estero Pocuro en el Sifon
387,5,5,1,1,1,Estero Pocuro en el Sifon
388,5,5,1,1,1,Estero Pocuro en el Sifon
389,5,5,1,1,1,Estero Pocuro en el Sifon
414,5,5,1,1,1,Estero Pocuro en el Sifon
415,5,5,1,1,1,Estero Pocuro en el Sifon
416,5,5,1,1,1,Estero Pocuro en el Sifon
417,5,5,1,1,1,Estero Pocuro en el Sifon
418,5,5,1,1,1,Estero Pocuro en el Sifon
443,5,5,1,1,1,Estero Pocuro en el Sifon
445,5,5,1,1,1,Estero Pocuro en el Sifon
446,5,5,1,1,1,Estero Pocuro en el Sifon
447,5,5,1,1,1,Estero Pocuro en el Sifon
471,5,5,1,1,1,Estero Pocuro en el Sifon
472,5,5,1,1,1,Estero Pocuro en el Sifon
473,5,5,1,1,1,Estero Pocuro en el Sifon
494,5,5,1,1,1,Estero Pocuro en el Sifon
495,5,5,1,1,1,Estero Pocuro en el Sifon
496,5,5,1,1,1,Estero Pocuro en el Sifon
519,5,5,1,1,1,Estero Pocuro en el Sifon
520,5,5,1,1,1,Estero Pocuro en el Sifon
540,5,5,1,1,1,Estero Pocuro en el Sifon
541,5,5,1,1,1,Estero Pocuro en el Sifon
542,5,5,1,1,1,Estero Pocuro en el Sifon
543,5,5,1,1,1,Estero Pocuro en el Sifon
544,5,5,1,1,1,Estero Pocuro en el Sifon
545,5,5,1,1,1,Estero Pocuro en el Sifon
565,5,5,1,1,1,Estero Pocuro en el Sifon
566,5,5,1,1,1,Estero Pocuro en el Sifon
567,5,5,1,1,1,Estero Pocuro en el Sifon
568,5,5,1,1,1,Estero Pocuro en el Sifon
569,5,5,1,1,1,Estero Pocuro en el Sifon
589,5,5,1,1,1,Estero Pocuro en el Sifon
590,5,5,1,1,1,Estero Pocuro en el Sifon
611,5,5,1,1,1,Estero Pocuro en el Sifon
612,5,5,1,1,1,Estero Pocuro en el Sifon
613,5,5,1,1,1,Estero Pocuro en el Sifon
628,5,5,1,1,1,Estero Pocuro en el Sifon
629,5,5,1,1,1,Estero Pocuro en el Sifon
642,5,5,1,1,1,Estero Pocuro en el Sifon
653,5,5,1,1,1,Estero Pocuro en el Sifon
654,5,5,1,1,1,Estero Pocuro en el Sifon
655,5,5,1,1,1,Estero Pocuro en el Sifon
656,5,5,1,1,1,Estero Pocuro en el Sifon
665,5,5,1,1,1,Estero Pocuro en el Sifon
666,5,5,1,1,1,Estero Pocuro en el Sifon
667,5,5,1,1,1,Estero Pocuro en el Sifon
668,5,5,1,1,1,Estero Pocuro en el Sifon
669,5,5,1,1,1,Estero Pocuro en el Sifon
671,5,5,1,1,1,Estero Pocuro en el Sifon
677,5,5,1,1,1,Estero Pocuro en el Sifon
678,5,5,1,1,1,Estero Pocuro en el Sifon
679,5,5,1,1,1,Estero Pocuro en el Sifon
680,5,5,1,1,1,Estero Pocuro en el Sifon
683,5,5,1,1,1,Estero Pocuro en el Sifon
684,5,5,1,1,1,Estero Pocuro en el Sifon
688,5,5,1,1,1,Estero Pocuro en el Sifon
689,5,5,1,1,1,Estero Pocuro en el Sifon
690,5,5,1,1,1,Estero Pocuro en el Sifon
691,5,5,1,1,1,Estero Pocuro en el Sifon
695,5,5,1,1,1,Estero Pocuro en el Sifon
696,5,5,1,1,1,Estero Pocuro en el Sifon
698,5,5,1,1,1,Estero Pocuro en el Sifon
699,5,5,1,1,1,Estero Pocuro en el Sifon
700,5,5,1,1,1,Estero Pocuro en el Sifon
701,5,5,1,1,1,Estero Pocuro en el Sifon
703,5,5,1,1,1,Estero Pocuro en el Sifon
704,5,5,1,1,1,Estero Pocuro en el Sifon
705,5,5,1,1,1,Estero Pocuro en el Sifon
706,5,5,1,1,1,Estero Pocuro en el Sifon
707,5,5,1,1,1,Estero Pocuro en el Sifon
708,5,5,1,1,1,Estero Pocuro en el Sifon
709,5,5,1,1,1,Estero Pocuro en el Sifon
711,5,5,1,1,1,Estero Pocuro en el Sifon
712,5,5,1,1,1,Estero Pocuro en el Sifon
713,5,5,1,1,1,Estero Pocuro en el Sifon
714,5,5,1,1,1,Estero Pocuro en el Sifon
718,5,5,1,1,1,Estero Pocuro en el Sifon
719,5,5,1,1,1,Estero Pocuro en el Sifon
720,5,5,1,1,1,Estero Pocuro en el Sifon
721,5,5,1,1,1,Estero Pocuro en el Sifon
726,5,5,1,1,1,Estero Pocuro en el Sifon
136,6,6,1,1,1,Estero Pocuro en el Sifon
153,6,6,1,1,1,Estero Pocuro en el Sifon
154,6,6,1,1,1,Estero Pocuro en el Sifon
155,6,6,1,1,1,Estero Pocuro en el Sifon
175,6,6,1,1,1,Estero Pocuro en el Sifon
176,6,6,1,1,1,Estero Pocuro en el Sifon
177,6,6,1,1,1,Estero Pocuro en el Sifon
178,6,6,1,1,1,Estero Pocuro en el Sifon
199,6,6,1,1,1,Estero Pocuro en el Sifon
200,6,6,1,1,1,Estero Pocuro en el Sifon
201,6,6,1,1,1,Estero Pocuro en el Sifon
202,6,6,1,1,1,Estero Pocuro en el Sifon
203,6,6,1,1,1,Estero Pocuro en el Sifon
228,6,6,1,1,1,Estero Pocuro en el Sifon
229,6,6,1,1,1,Estero Pocuro en el Sifon
230,6,6,1,1,1,Estero Pocuro en el Sifon
254,6,6,1,1,1,Estero Pocuro en el Sifon
255,6,6,1,1,1,Estero Pocuro en el Sifon
256,6,6,1,1,1,Estero Pocuro en el Sifon
257,6,6,1,1,1,Estero Pocuro en el Sifon
258,6,6,1,1,1,Estero Pocuro en el Sifon
283,6,6,1,1,1,Estero Pocuro en el Sifon
284,6,6,1,1,1,Estero Pocuro en el Sifon
285,6,6,1,1,1,Estero Pocuro en el Sifon
286,6,6,1,1,1,Estero Pocuro en el Sifon
310,6,6,1,1,1,Estero Pocuro en el Sifon
311,6,6,1,1,1,Estero Pocuro en el Sifon
312,6,6,1,1,1,Estero Pocuro en el Sifon
336,6,6,1,1,1,Estero Pocuro en el Sifon
337,6,6,1,1,1,Estero Pocuro en el Sifon
338,6,6,1,1,1,Estero Pocuro en el Sifon
339,6,6,1,1,1,Estero Pocuro en el Sifon
340,6,6,1,1,1,Estero Pocuro en el Sifon
341,6,6,1,1,1,Estero Pocuro en el Sifon
363,6,6,1,1,1,Estero Pocuro en el Sifon
364,6,6,1,1,1,Estero Pocuro en el Sifon
365,6,6,1,1,1,Estero Pocuro en el Sifon
366,6,6,1,1,1,Estero Pocuro en el Sifon
367,6,6,1,1,1,Estero Pocuro en el Sifon
368,6,6,1,1,1,Estero Pocuro en el Sifon
369,6,6,1,1,1,Estero Pocuro en el Sifon
390,6,6,1,1,1,Estero Pocuro en el Sifon
391,6,6,1,1,1,Estero Pocuro en el Sifon
392,6,6,1,1,1,Estero Pocuro en el Sifon
393,6,6,1,1,1,Estero Pocuro en el Sifon
394,6,6,1,1,1,Estero Pocuro en el Sifon
395,6,6,1,1,1,Estero Pocuro en el Sifon
396,6,6,1,1,1,Estero Pocuro en el Sifon
397,6,6,1,1,1,Estero Pocuro en el Sifon
419,6,6,1,1,1,Estero Pocuro en el Sifon
420,6,6,1,1,1,Estero Pocuro en el Sifon
421,6,6,1,1,1,Estero Pocuro en el Sifon
422,6,6,1,1,1,Estero Pocuro en el Sifon
423,6,6,1,1,1,Estero Pocuro en el Sifon
424,6,6,1,1,1,Estero Pocuro en el Sifon
425,6,6,1,1,1,Estero Pocuro en el Sifon
448,6,6,1,1,1,Estero Pocuro en el Sifon
449,6,6,1,1,1,Estero Pocuro en el Sifon
450,6,6,1,1,1,Estero Pocuro en el Sifon
451,6,6,1,1,1,Estero Pocuro en el Sifon
452,6,6,1,1,1,Estero Pocuro en el Sifon
474,6,6,1,1,1,Estero Pocuro en el Sifon
475,6,6,1,1,1,Estero Pocuro en el Sifon
476,6,6,1,1,1,Estero Pocuro en el Sifon
477,6,6,1,1,1,Estero Pocuro en el Sifon
497,6,6,1,1,1,Estero Pocuro en el Sifon
498,6,6,1,1,1,Estero Pocuro en el Sifon
499,6,6,1,1,1,Estero Pocuro en el Sifon
500,6,6,1,1,1,Estero Pocuro en el Sifon
501,6,6,1,1,1,Estero Pocuro en el Sifon
502,6,6,1,1,1,Estero Pocuro en el Sifon
521,6,6,1,1,1,Estero Pocuro en el Sifon
522,6,6,1,1,1,Estero Pocuro en el Sifon
523,6,6,1,1,1,Estero Pocuro en el Sifon
524,6,6,1,1,1,Estero Pocuro en el Sifon
525,6,6,1,1,1,Estero Pocuro en el Sifon
526,6,6,1,1,1,Estero Pocuro en el Sifon
527,6,6,1,1,1,Estero Pocuro en el Sifon
546,6,6,1,1,1,Estero Pocuro en el Sifon
547,6,6,1,1,1,Estero Pocuro en el Sifon
548,6,6,1,1,1,Estero Pocuro en el Sifon
549,6,6,1,1,1,Estero Pocuro en el Sifon
550,6,6,1,1,1,Estero Pocuro en el Sifon
551,6,6,1,1,1,Estero Pocuro en el Sifon
570,6,6,1,1,1,Estero Pocuro en el Sifon
571,6,6,1,1,1,Estero Pocuro en el Sifon
572,6,6,1,1,1,Estero Pocuro en el Sifon
573,6,6,1,1,1,Estero Pocuro en el Sifon
574,6,6,1,1,1,Estero Pocuro en el Sifon
591,6,6,1,1,1,Estero Pocuro en el Sifon
592,6,6,1,1,1,Estero Pocuro en el Sifon
593,6,6,1,1,1,Estero Pocuro en el Sifon
594,6,6,1,1,1,Estero Pocuro en el Sifon
595,6,6,1,1,1,Estero Pocuro en el Sifon
596,6,6,1,1,1,Estero Pocuro en el Sifon
597,6,6,1,1,1,Estero Pocuro en el Sifon
614,6,6,1,1,1,Estero Pocuro en el Sifon
615,6,6,1,1,1,Estero Pocuro en el Sifon
630,6,6,1,1,1,Estero Pocuro en el Sifon
631,6,6,1,1,1,Estero Pocuro en el Sifon
643,6,6,1,1,1,Estero Pocuro en el Sifon
644,6,6,1,1,1,Estero Pocuro en el Sifon
645,6,6,1,1,1,Estero Pocuro en el Sifon
657,6,6,1,1,1,Estero Pocuro en el Sifon
658,6,6,1,1,1,Estero Pocuro en el Sifon
670,6,6,1,1,1,Estero Pocuro en el Sifon
681,6,6,1,1,1,Estero Pocuro en el Sifon
682,6,6,1,1,1,Estero Pocuro en el Sifon
692,6,6,1,1,1,Estero Pocuro en el Sifon
693,6,6,1,1,1,Estero Pocuro en el Sifon
694,6,6,1,1,1,Estero Pocuro en el Sifon
702,6,6,1,1,1,Estero Pocuro en el Sifon
710,6,6,1,1,1,Estero Pocuro en el Sifon
715,6,6,1,1,1,Estero Pocuro en el Sifon
716,6,6,1,1,1,Estero Pocuro en el Sifon
717,6,6,1,1,1,Estero Pocuro en el Sifon
722,6,6,1,1,1,Estero Pocuro en el Sifon
723,6,6,1,1,1,Estero Pocuro en el Sifon
724,6,6,1,1,1,Estero Pocuro en el Sifon
725,6,6,1,1,1,Estero Pocuro en el Sifon
727,6,6,1,1,1,Estero Pocuro en el Sifon
728,6,6,1,1,1,Estero Pocuro en el Sifon
