HRU,SC,ORDEN,QF,OBS,SEG,ESTAC
351,1,1,1,1,1,Estero Pocuro en el Sifon
375,1,1,1,1,1,Estero Pocuro en el Sifon
377,1,1,1,1,1,Estero Pocuro en el Sifon
403,1,1,1,1,1,Estero Pocuro en el Sifon
431,1,1,1,1,1,Estero Pocuro en el Sifon
16,2,2,1,1,1,Estero Pocuro en el Sifon
30,2,2,1,1,1,Estero Pocuro en el Sifon
31,2,2,1,1,1,Estero Pocuro en el Sifon
45,2,2,1,1,1,Estero Pocuro en el Sifon
46,2,2,1,1,1,Estero Pocuro en el Sifon
47,2,2,1,1,1,Estero Pocuro en el Sifon
59,2,2,1,1,1,Estero Pocuro en el Sifon
60,2,2,1,1,1,Estero Pocuro en el Sifon
61,2,2,1,1,1,Estero Pocuro en el Sifon
62,2,2,1,1,1,Estero Pocuro en el Sifon
63,2,2,1,1,1,Estero Pocuro en el Sifon
64,2,2,1,1,1,Estero Pocuro en el Sifon
75,2,2,1,1,1,Estero Pocuro en el Sifon
76,2,2,1,1,1,Estero Pocuro en el Sifon
77,2,2,1,1,1,Estero Pocuro en el Sifon
79,2,2,1,1,1,Estero Pocuro en el Sifon
80,2,2,1,1,1,Estero Pocuro en el Sifon
92,2,2,1,1,1,Estero Pocuro en el Sifon
109,2,2,1,1,1,Estero Pocuro en el Sifon
119,2,2,1,1,1,Estero Pocuro en el Sifon
126,2,2,1,1,1,Estero Pocuro en el Sifon
127,2,2,1,1,1,Estero Pocuro en el Sifon
137,2,2,1,1,1,Estero Pocuro en el Sifon
138,2,2,1,1,1,Estero Pocuro en el Sifon
145,2,2,1,1,1,Estero Pocuro en el Sifon
146,2,2,1,1,1,Estero Pocuro en el Sifon
160,2,2,1,1,1,Estero Pocuro en el Sifon
161,2,2,1,1,1,Estero Pocuro en el Sifon
169,2,2,1,1,1,Estero Pocuro en el Sifon
183,2,2,1,1,1,Estero Pocuro en el Sifon
184,2,2,1,1,1,Estero Pocuro en el Sifon
193,2,2,1,1,1,Estero Pocuro en el Sifon
194,2,2,1,1,1,Estero Pocuro en el Sifon
207,2,2,1,1,1,Estero Pocuro en el Sifon
208,2,2,1,1,1,Estero Pocuro en el Sifon
209,2,2,1,1,1,Estero Pocuro en el Sifon
210,2,2,1,1,1,Estero Pocuro en el Sifon
218,2,2,1,1,1,Estero Pocuro en el Sifon
219,2,2,1,1,1,Estero Pocuro en el Sifon
236,2,2,1,1,1,Estero Pocuro en el Sifon
243,2,2,1,1,1,Estero Pocuro en el Sifon
244,2,2,1,1,1,Estero Pocuro en el Sifon
245,2,2,1,1,1,Estero Pocuro en el Sifon
263,2,2,1,1,1,Estero Pocuro en el Sifon
264,2,2,1,1,1,Estero Pocuro en el Sifon
265,2,2,1,1,1,Estero Pocuro en el Sifon
266,2,2,1,1,1,Estero Pocuro en el Sifon
272,2,2,1,1,1,Estero Pocuro en el Sifon
273,2,2,1,1,1,Estero Pocuro en el Sifon
291,2,2,1,1,1,Estero Pocuro en el Sifon
292,2,2,1,1,1,Estero Pocuro en el Sifon
293,2,2,1,1,1,Estero Pocuro en el Sifon
298,2,2,1,1,1,Estero Pocuro en el Sifon
317,2,2,1,1,1,Estero Pocuro en el Sifon
318,2,2,1,1,1,Estero Pocuro en el Sifon
319,2,2,1,1,1,Estero Pocuro en el Sifon
324,2,2,1,1,1,Estero Pocuro en el Sifon
325,2,2,1,1,1,Estero Pocuro en el Sifon
343,2,2,1,1,1,Estero Pocuro en el Sifon
345,2,2,1,1,1,Estero Pocuro en el Sifon
346,2,2,1,1,1,Estero Pocuro en el Sifon
350,2,2,1,1,1,Estero Pocuro en el Sifon
352,2,2,1,1,1,Estero Pocuro en el Sifon
353,2,2,1,1,1,Estero Pocuro en el Sifon
354,2,2,1,1,1,Estero Pocuro en el Sifon
355,2,2,1,1,1,Estero Pocuro en el Sifon
356,2,2,1,1,1,Estero Pocuro en el Sifon
373,2,2,1,1,1,Estero Pocuro en el Sifon
374,2,2,1,1,1,Estero Pocuro en el Sifon
376,2,2,1,1,1,Estero Pocuro en el Sifon
378,2,2,1,1,1,Estero Pocuro en el Sifon
379,2,2,1,1,1,Estero Pocuro en el Sifon
380,2,2,1,1,1,Estero Pocuro en el Sifon
381,2,2,1,1,1,Estero Pocuro en el Sifon
382,2,2,1,1,1,Estero Pocuro en el Sifon
398,2,2,1,1,1,Estero Pocuro en el Sifon
399,2,2,1,1,1,Estero Pocuro en el Sifon
400,2,2,1,1,1,Estero Pocuro en el Sifon
401,2,2,1,1,1,Estero Pocuro en el Sifon
402,2,2,1,1,1,Estero Pocuro en el Sifon
404,2,2,1,1,1,Estero Pocuro en el Sifon
405,2,2,1,1,1,Estero Pocuro en el Sifon
406,2,2,1,1,1,Estero Pocuro en el Sifon
408,2,2,1,1,1,Estero Pocuro en el Sifon
409,2,2,1,1,1,Estero Pocuro en el Sifon
410,2,2,1,1,1,Estero Pocuro en el Sifon
428,2,2,1,1,1,Estero Pocuro en el Sifon
429,2,2,1,1,1,Estero Pocuro en el Sifon
430,2,2,1,1,1,Estero Pocuro en el Sifon
432,2,2,1,1,1,Estero Pocuro en el Sifon
436,2,2,1,1,1,Estero Pocuro en el Sifon
437,2,2,1,1,1,Estero Pocuro en el Sifon
454,2,2,1,1,1,Estero Pocuro en el Sifon
455,2,2,1,1,1,Estero Pocuro en el Sifon
456,2,2,1,1,1,Estero Pocuro en el Sifon
457,2,2,1,1,1,Estero Pocuro en el Sifon
458,2,2,1,1,1,Estero Pocuro en el Sifon
459,2,2,1,1,1,Estero Pocuro en el Sifon
462,2,2,1,1,1,Estero Pocuro en el Sifon
479,2,2,1,1,1,Estero Pocuro en el Sifon
480,2,2,1,1,1,Estero Pocuro en el Sifon
481,2,2,1,1,1,Estero Pocuro en el Sifon
482,2,2,1,1,1,Estero Pocuro en el Sifon
483,2,2,1,1,1,Estero Pocuro en el Sifon
484,2,2,1,1,1,Estero Pocuro en el Sifon
505,2,2,1,1,1,Estero Pocuro en el Sifon
506,2,2,1,1,1,Estero Pocuro en el Sifon
507,2,2,1,1,1,Estero Pocuro en el Sifon
508,2,2,1,1,1,Estero Pocuro en el Sifon
509,2,2,1,1,1,Estero Pocuro en el Sifon
530,2,2,1,1,1,Estero Pocuro en el Sifon
531,2,2,1,1,1,Estero Pocuro en el Sifon
532,2,2,1,1,1,Estero Pocuro en el Sifon
533,2,2,1,1,1,Estero Pocuro en el Sifon
534,2,2,1,1,1,Estero Pocuro en el Sifon
535,2,2,1,1,1,Estero Pocuro en el Sifon
555,2,2,1,1,1,Estero Pocuro en el Sifon
556,2,2,1,1,1,Estero Pocuro en el Sifon
558,2,2,1,1,1,Estero Pocuro en el Sifon
559,2,2,1,1,1,Estero Pocuro en el Sifon
579,2,2,1,1,1,Estero Pocuro en el Sifon
17,3,3,1,1,1,Estero Pocuro en el Sifon
18,3,3,1,1,1,Estero Pocuro en el Sifon
19,3,3,1,1,1,Estero Pocuro en el Sifon
32,3,3,1,1,1,Estero Pocuro en el Sifon
33,3,3,1,1,1,Estero Pocuro en el Sifon
34,3,3,1,1,1,Estero Pocuro en el Sifon
48,3,3,1,1,1,Estero Pocuro en el Sifon
78,3,3,1,1,1,Estero Pocuro en el Sifon
81,3,3,1,1,1,Estero Pocuro en el Sifon
93,3,3,1,1,1,Estero Pocuro en el Sifon
94,3,3,1,1,1,Estero Pocuro en el Sifon
95,3,3,1,1,1,Estero Pocuro en el Sifon
96,3,3,1,1,1,Estero Pocuro en el Sifon
97,3,3,1,1,1,Estero Pocuro en el Sifon
98,3,3,1,1,1,Estero Pocuro en el Sifon
110,3,3,1,1,1,Estero Pocuro en el Sifon
113,3,3,1,1,1,Estero Pocuro en el Sifon
128,3,3,1,1,1,Estero Pocuro en el Sifon
147,3,3,1,1,1,Estero Pocuro en el Sifon
158,3,3,1,1,1,Estero Pocuro en el Sifon
159,3,3,1,1,1,Estero Pocuro en el Sifon
170,3,3,1,1,1,Estero Pocuro en el Sifon
171,3,3,1,1,1,Estero Pocuro en el Sifon
180,3,3,1,1,1,Estero Pocuro en el Sifon
181,3,3,1,1,1,Estero Pocuro en el Sifon
182,3,3,1,1,1,Estero Pocuro en el Sifon
195,3,3,1,1,1,Estero Pocuro en el Sifon
206,3,3,1,1,1,Estero Pocuro en el Sifon
220,3,3,1,1,1,Estero Pocuro en el Sifon
233,3,3,1,1,1,Estero Pocuro en el Sifon
234,3,3,1,1,1,Estero Pocuro en el Sifon
235,3,3,1,1,1,Estero Pocuro en el Sifon
246,3,3,1,1,1,Estero Pocuro en el Sifon
262,3,3,1,1,1,Estero Pocuro en el Sifon
